"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00049152","U C L A, CA US","2022-09-01","94","75","89"
"USC00049152","U C L A, CA US","2022-09-02","92","72","84"
"USC00049152","U C L A, CA US","2022-09-03","93","75","91"
"USC00049152","U C L A, CA US","2022-09-04","104","77","88"
"USC00049152","U C L A, CA US","2022-09-05","93","76","87"
"USC00049152","U C L A, CA US","2022-09-06","90","73","82"
"USC00049152","U C L A, CA US","2022-09-07","95","73","86"
"USC00049152","U C L A, CA US","2022-09-08","96","73","93"
"USC00049152","U C L A, CA US","2022-09-09","97","81","92"
"USC00049152","U C L A, CA US","2022-09-10","92","70","78"
"USC00049152","U C L A, CA US","2022-09-11","85","74","80"
"USC00049152","U C L A, CA US","2022-09-12","82","71","77"
"USC00049152","U C L A, CA US","2022-09-13","81","68","75"
"USC00049152","U C L A, CA US","2022-09-14","79","66","75"
"USC00049152","U C L A, CA US","2022-09-15","77","64","73"
"USC00049152","U C L A, CA US","2022-09-16","77","63","73"
"USC00049152","U C L A, CA US","2022-09-17","75","63","71"
"USC00049152","U C L A, CA US","2022-09-18","72","64","69"
"USC00049152","U C L A, CA US","2022-09-19","75","60","73"
"USC00049152","U C L A, CA US","2022-09-20","77","62","73"
"USC00049152","U C L A, CA US","2022-09-21","77","60","73"
"USC00049152","U C L A, CA US","2022-09-22","79","62","76"
"USC00049152","U C L A, CA US","2022-09-23","82","62","79"
"USC00049152","U C L A, CA US","2022-09-24","83","65","79"
"USC00049152","U C L A, CA US","2022-09-25","83","66","76"
"USC00049152","U C L A, CA US","2022-09-26","84","65","76"
"USC00049152","U C L A, CA US","2022-09-27","84","66","82"
"USC00049152","U C L A, CA US","2022-09-28","84","68","77"
"USC00049152","U C L A, CA US","2022-09-29","77","65","71"
"USC00049152","U C L A, CA US","2022-09-30","78","64","71"
"USC00049152","U C L A, CA US","2022-10-01","75","66","67"
"USC00049152","U C L A, CA US","2022-10-02","74","65","70"
"USC00049152","U C L A, CA US","2022-10-03","73","61","72"
"USC00049152","U C L A, CA US","2022-10-04","78","63","71"
"USC00049152","U C L A, CA US","2022-10-05","75","63","68"
"USC00049152","U C L A, CA US","2022-10-06","73","65","68"
"USC00049152","U C L A, CA US","2022-10-07","76","65","70"
"USC00049152","U C L A, CA US","2022-10-08","76","62","71"
"USC00049152","U C L A, CA US","2022-10-09","72","63","68"
"USC00049152","U C L A, CA US","2022-10-10","75","61","69"
"USC00049152","U C L A, CA US","2022-10-11","77","63","70"
"USC00049152","U C L A, CA US","2022-10-12","79","64","66"
"USC00049152","U C L A, CA US","2022-10-13","71","65","65"
"USC00049152","U C L A, CA US","2022-10-14","70","63","66"
"USC00049152","U C L A, CA US","2022-10-15","69","62","67"
"USC00049152","U C L A, CA US","2022-10-16","71","60","67"
"USC00049152","U C L A, CA US","2022-10-17","74","60","69"
"USC00049152","U C L A, CA US","2022-10-18","84","62","81"
"USC00049152","U C L A, CA US","2022-10-19","93","67","85"
"USC00049152","U C L A, CA US","2022-10-20","87","72","78"
"USC00049152","U C L A, CA US","2022-10-21","79","64","69"
"USC00049152","U C L A, CA US","2022-10-22","69","64","65"
"USC00049152","U C L A, CA US","2022-10-23","72","56","65"
"USC00049152","U C L A, CA US","2022-10-24","74","57","70"
"USC00049152","U C L A, CA US","2022-10-25","74","57","68"
"USC00049152","U C L A, CA US","2022-10-26","71","57","66"
"USC00049152","U C L A, CA US","2022-10-27","74","57","68"
"USC00049152","U C L A, CA US","2022-10-28","76","57","67"
"USC00049152","U C L A, CA US","2022-10-29","73","55","70"
"USC00049152","U C L A, CA US","2022-10-30","77","57","72"
"USC00049152","U C L A, CA US","2022-10-31","77","59","68"
"USC00049152","U C L A, CA US","2022-11-01","69","59","64"
"USC00049152","U C L A, CA US","2022-11-02","67","57","64"
"USC00049152","U C L A, CA US","2022-11-03","65","48","61"
"USC00049152","U C L A, CA US","2022-11-04","68","50","61"
"USC00049152","U C L A, CA US","2022-11-05","69","51","62"
"USC00049152","U C L A, CA US","2022-11-06","68","53","63"
"USC00049152","U C L A, CA US","2022-11-07","63","55","59"
"USC00049152","U C L A, CA US","2022-11-08","64","54","54"
"USC00049152","U C L A, CA US","2022-11-09","63","47","58"
"USC00049152","U C L A, CA US","2022-11-10","68","47","62"
"USC00049152","U C L A, CA US","2022-11-11","70","52","65"
"USC00049152","U C L A, CA US","2022-11-12","69","54","61"
"USC00049152","U C L A, CA US","2022-11-13","69","49","63"
"USC00049152","U C L A, CA US","2022-11-14","69","50","64"
"USC00049152","U C L A, CA US","2022-11-15","70","52","66"
"USC00049152","U C L A, CA US","2022-11-16","72","60","72"
"USC00049152","U C L A, CA US","2022-11-17","75","57","64"
"USC00049152","U C L A, CA US","2022-11-18","70","53","62"
"USC00049152","U C L A, CA US","2022-11-19","74","55","70"
"USC00049152","U C L A, CA US","2022-11-20","78","58","72"
"USC00049152","U C L A, CA US","2022-11-21","77","59","70"
"USC00049152","U C L A, CA US","2022-11-22","75","59","66"
"USC00049152","U C L A, CA US","2022-11-23","73","52","66"
"USC00049152","U C L A, CA US","2022-11-24","78","52","69"
"USC00049152","U C L A, CA US","2022-11-25","77","55","69"
"USC00049152","U C L A, CA US","2022-11-26","71","52","63"
"USC00049152","U C L A, CA US","2022-11-27","69","51","62"
"USC00049152","U C L A, CA US","2022-11-28","64","53","60"
"USC00049152","U C L A, CA US","2022-11-29","65","51","62"
"USC00049152","U C L A, CA US","2022-11-30","64","51","58"
"USC00049152","U C L A, CA US","2022-12-01","58","52","57"
"USC00049152","U C L A, CA US","2022-12-02","58","51","57"
